ID    Species    Bill Len   Bill Dep   Flipper Len     Mass       Sex     
1     Adelie     39.1       0.0        181.0           181.0     MALE    
2     Adelie     39.5       0.0        186.0           186.0     FEMALE  
3     Adelie     40.3       0.0        195.0           195.0     FEMALE  
4     Adelie     36.7       0.0        193.0           193.0     FEMALE  
5     Adelie     39.3       0.0        190.0           190.0     MALE    
6     Adelie     38.9       0.0        181.0           181.0     FEMALE  
7     Adelie     39.2       0.0        195.0           195.0     MALE    
8     Adelie     34.1       0.0        193.0           193.0     FEMALE  
9     Adelie     42.0       0.0        190.0           190.0     MALE    
10    Adelie     37.8       0.0        186.0           186.0     MALE    
11    Adelie     37.8       0.0        180.0           180.0     FEMALE  
12    Adelie     41.1       0.0        182.0           182.0     FEMALE  
13    Adelie     38.6       0.0        191.0           191.0     MALE    
14    Adelie     34.6       0.0        198.0           198.0     MALE    
15    Adelie     36.6       0.0        185.0           185.0     FEMALE  
16    Adelie     38.7       0.0        195.0           195.0     FEMALE  
17    Adelie     42.5       0.0        197.0           197.0     MALE    
18    Adelie     34.4       0.0        184.0           184.0     FEMALE  
19    Adelie     46.0       0.0        194.0           194.0     MALE    
20    Adelie     37.8       0.0        174.0           174.0     FEMALE  
21    Adelie     37.7       0.0        180.0           180.0     MALE    
22    Adelie     35.9       0.0        189.0           189.0     FEMALE  
23    Adelie     38.2       0.0        185.0           185.0     MALE    
24    Adelie     38.8       0.0        180.0           180.0     MALE    
25    Adelie     35.3       0.0        187.0           187.0     FEMALE  
26    Adelie     40.6       0.0        183.0           183.0     MALE    
27    Adelie     40.5       0.0        187.0           187.0     FEMALE  
28    Adelie     37.9       0.0        172.0           172.0     FEMALE  
29    Adelie     40.5       0.0        180.0           180.0     MALE    
30    Adelie     39.5       0.0        178.0           178.0     FEMALE  
31    Adelie     37.2       0.0        178.0           178.0     MALE    
32    Adelie     39.5       0.0        188.0           188.0     FEMALE  
33    Adelie     40.9       0.0        184.0           184.0     MALE    
34    Adelie     36.4       0.0        195.0           195.0     FEMALE  
35    Adelie     39.2       0.0        196.0           196.0     MALE    
36    Adelie     38.8       0.0        190.0           190.0     MALE    
37    Adelie     42.2       0.0        180.0           180.0     FEMALE  
38    Adelie     37.6       0.0        181.0           181.0     FEMALE  
39    Adelie     39.8       0.0        184.0           184.0     MALE    
40    Adelie     36.5       0.0        182.0           182.0     FEMALE  
41    Adelie     40.8       0.0        195.0           195.0     MALE    
42    Adelie     36.0       0.0        186.0           186.0     FEMALE  
43    Adelie     44.1       0.0        196.0           196.0     MALE    
44    Adelie     37.0       0.0        185.0           185.0     FEMALE  
45    Adelie     39.6       0.0        190.0           190.0     MALE    
46    Adelie     41.1       0.0        182.0           182.0     MALE    
47    Adelie     37.5       0.0        179.0           179.0     FEMALE  
48    Adelie     36.0       0.0        190.0           190.0     FEMALE  
49    Adelie     42.3       0.0        191.0           191.0     MALE    
50    Adelie     39.6       0.0        186.0           186.0     FEMALE  
51    Adelie     40.1       0.0        188.0           188.0     MALE    
52    Adelie     35.0       0.0        190.0           190.0     FEMALE  
53    Adelie     42.0       0.0        200.0           200.0     MALE    
54    Adelie     34.5       0.0        187.0           187.0     FEMALE  
55    Adelie     41.4       0.0        191.0           191.0     MALE    
56    Adelie     39.0       0.0        186.0           186.0     FEMALE  
57    Adelie     40.6       0.0        193.0           193.0     MALE    
58    Adelie     36.5       0.0        181.0           181.0     FEMALE  
59    Adelie     37.6       0.0        194.0           194.0     MALE    
60    Adelie     35.7       0.0        185.0           185.0     FEMALE  
61    Adelie     41.3       0.0        195.0           195.0     MALE    
62    Adelie     37.6       0.0        185.0           185.0     FEMALE  
63    Adelie     41.1       0.0        192.0           192.0     MALE    
64    Adelie     36.4       0.0        184.0           184.0     FEMALE  
65    Adelie     41.6       0.0        192.0           192.0     MALE    
66    Adelie     35.5       0.0        195.0           195.0     FEMALE  
67    Adelie     41.1       0.0        188.0           188.0     MALE    
68    Adelie     35.9       0.0        190.0           190.0     FEMALE  
69    Adelie     41.8       0.0        198.0           198.0     MALE    
70    Adelie     33.5       0.0        190.0           190.0     FEMALE  
71    Adelie     39.7       0.0        190.0           190.0     MALE    
72    Adelie     39.6       0.0        196.0           196.0     FEMALE  
73    Adelie     45.8       0.0        197.0           197.0     MALE    
74    Adelie     35.5       0.0        190.0           190.0     FEMALE  
75    Adelie     42.8       0.0        195.0           195.0     MALE    
76    Adelie     40.9       0.0        191.0           191.0     FEMALE  
77    Adelie     37.2       0.0        184.0           184.0     MALE    
78    Adelie     36.2       0.0        187.0           187.0     FEMALE  
79    Adelie     42.1       0.0        195.0           195.0     MALE    
80    Adelie     34.6       0.0        189.0           189.0     FEMALE  
81    Adelie     42.9       0.0        196.0           196.0     MALE    
82    Adelie     36.7       0.0        187.0           187.0     FEMALE  
83    Adelie     35.1       0.0        193.0           193.0     MALE    
84    Adelie     37.3       0.0        191.0           191.0     FEMALE  
85    Adelie     41.3       0.0        194.0           194.0     MALE    
86    Adelie     36.3       0.0        190.0           190.0     MALE    
87    Adelie     36.9       0.0        189.0           189.0     FEMALE  
88    Adelie     38.3       0.0        189.0           189.0     MALE    
89    Adelie     38.9       0.0        190.0           190.0     FEMALE  
90    Adelie     35.7       0.0        202.0           202.0     FEMALE  
91    Adelie     41.1       0.0        205.0           205.0     MALE    
92    Adelie     34.0       0.0        185.0           185.0     FEMALE  
93    Adelie     39.6       0.0        186.0           186.0     MALE    
94    Adelie     36.2       0.0        187.0           187.0     FEMALE  
95    Adelie     40.8       0.0        208.0           208.0     MALE    
96    Adelie     38.1       0.0        190.0           190.0     FEMALE  
97    Adelie     40.3       0.0        196.0           196.0     MALE    
98    Adelie     33.1       0.0        178.0           178.0     FEMALE  
99    Adelie     43.2       0.0        192.0           192.0     MALE    
100   Adelie     35.0       0.0        192.0           192.0     FEMALE  
101   Adelie     41.0       0.0        203.0           203.0     MALE    
102   Adelie     37.7       0.0        183.0           183.0     FEMALE  
103   Adelie     37.8       0.0        190.0           190.0     MALE    
104   Adelie     37.9       0.0        193.0           193.0     FEMALE  
105   Adelie     39.7       0.0        184.0           184.0     MALE    
106   Adelie     38.6       0.0        199.0           199.0     FEMALE  
107   Adelie     38.2       0.0        190.0           190.0     MALE    
108   Adelie     38.1       0.0        181.0           181.0     FEMALE  
109   Adelie     43.2       0.0        197.0           197.0     MALE    
110   Adelie     38.1       0.0        198.0           198.0     FEMALE  
